stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14669,125254,California Ave / Emery St (EB),1149 W California Ave & Concord St,40.740395,-111.924007,,,,,,0
14670,125256,California Ave / 1000 W (EB),1005 W California Ave & 1000 W,40.740411,-111.919331,,,,,,0
14672,125373,900 W / Fremont Ave (NB),1115 S 900 W & W FREMONT AVE,40.744683,-111.916751,,,,,,1
14674,125375,900 W / Fayette Ave (NB),959 S 900 W & W Fayette Ave,40.748213,-111.916747,,,,,,1
14675,125376,900 W / 900 S (NB),895 S 900 W & 900 S,40.750081,-111.916705,,,,,,1
14698,172199,10000 S / State St (EB),45 W 10000 S,40.569579,-111.892091,,,,,,1
14700,172201,10000 S / State St (WB),40 W Sego Lily Dr,40.569821,-111.891641,,,,,,1
14716,125306,800 W / 700 S (NB),705 S 800 W & 800 S,40.753763,-111.913811,,,,,,1
14717,125307,900 W / 700 S (NB),681 S 900 W & W 700 S,40.754414,-111.916711,,,,,,1
14718,125378,900 W / 600 S (NB),577 S 900 W,40.756735,-111.916733,,,,,,1
14720,125380,900 W / 400 S (NB),407 S 900 W & W 400 S,40.760255,-111.916729,,,,,,1
14722,125010,400 S @ 285 W,285 W 400 S & 300 W,40.760508,-111.899082,,,,,,1
14723,125011,400 S @ 175 W,175 W 400 S & 200 W,40.760503,-111.896011,,,,,,1
14724,125015,400 S @ 198 W,198 W 400 S & 200 W,40.760785,-111.896495,,,,,,1
14725,125425,400 S @ 306 W,306 W 400 S & 300 W,40.760797,-111.900272,,,,,,1
14727,125427,400 S / Rio Grande St (WB),450 W 400 S & Rio Grande St,40.760789,-111.903883,,,,,,1
14728,135123,West Valley Central Station (Bay K),3550 S MARKET ST & 4390 S,40.694943,-111.960115,,,,,,1
14732,135032,Constitution Blvd @ 2915 S,2915 S Constitution Blvd & 2920 S,40.707841,-111.957899,,,,,,0
14733,135033,Constitution Blvd @ 2761 S,2761 S Constitution Blvd & 2920 S,40.710296,-111.957908,,,,,,0
14746,124039,North Frontage Rd / 2900 W (EB),2905 W North Frontage Rd & 3730 W,40.726409,-111.962169,,,,,,0
14747,124067,UDOT Region Two (NB),1875 S Pioneer Rd & Maywood Dr,40.728713,-111.957961,,,,,,1
14748,124043,Pioneer Rd @ 1675 S,1675 S Pioneer Rd & 3730 W,40.733928,-111.957938,,,,,,0
14749,124044,Pioneer Rd @ 1507 S,1507 S Pioneer Rd & 1500 S,40.737371,-111.957949,,,,,,1
